category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.18826828752889932,0.08075827781431187,500,0.01058000692123792,149.22891569137573
Birds,0.452966056566755,1.0562498012928652e-05,500,0.013061090168829486,149.87069511413574
Birds,0.1857831109053007,0.08491768122207412,500,0.012390108479621142,150.90225863456726
Birds,0.022535168604001007,0.8358691587222877,500,0.011797325856755516,149.6829550266266
Birds,0.30575162388842636,0.0039777608798133345,500,0.011940859743771164,150.04189562797546
Clothing,0.11080162221788803,0.32168384626650254,500,0.014468217093572992,138.42907881736755
Clothing,0.20254469377616768,0.06976786633130064,500,0.01358320988566045,139.1158037185669
Clothing,0.17068750262989257,0.1276299791185035,500,0.015240243395389126,139.46988463401794
Clothing,0.3936282576788879,0.00027741589097606944,308,0.021657601176195675,88.68817734718323
Clothing,0.30089052355205004,0.006343332943945447,500,0.01263605069943557,139.2027440071106
Fruit,0.12664743306204404,0.4241597472926442,500,0.008318803923799578,72.09476375579834
Fruit,0.5436383858169802,0.00019861398471771198,500,0.010386717624565259,71.74807929992676
Fruit,0.5095415920543694,0.0005677781304864021,500,0.006748169129074151,71.94707012176514
Fruit,0.37673998142654397,0.01392325852566127,500,0.008621108217736592,72.15559554100037
Fruit,0.38995532853116976,0.010683377564027973,500,0.007696697775302559,71.93980193138123
Furniture,0.044158180075134,0.792362159134566,500,0.013492905364337934,65.2565348148346
Furniture,0.20898074209821188,0.20796964066399098,106,0.049029563325711636,15.17598819732666
Furniture,0.024537166961041072,0.883742699130659,500,0.015129853547397201,64.94669532775879
Furniture,-0.04489357476327081,0.7889819450547289,500,0.016436065832737625,65.12190628051758
Furniture,0.006050890857771043,0.971238933512595,500,0.01639844562979713,65.26671123504639
Professions,0.1324060338756535,0.25420833960224914,500,0.016513324905823714,130.06534481048584
Professions,0.46235796315255573,2.6129726537707343e-05,500,0.017993292144156677,129.88353443145752
Professions,0.24621077546155717,0.032035684757987126,500,0.017529602318594812,131.68175530433655
Professions,0.19201607784951474,0.09886638887693276,500,0.01800273273736088,129.96688866615295
Professions,0.31890877965453174,0.005292725328322889,500,0.015721036318110622,129.95458149909973
Sports,0.28337610983905315,0.013118083459918264,500,0.01210590168598506,129.5923810005188
Sports,0.3560453769403423,0.0015960991085652654,500,0.010562885235510355,129.5014877319336
Sports,0.48797038884891514,7.774302865676237e-06,500,0.012382444408953029,129.9631950855255
Sports,0.3031406243235265,0.008200531707514015,358,0.012279770784801742,95.42575192451477
Sports,0.4914130211217734,7.5748087533167325e-06,500,0.009928399025054963,129.47265529632568
Vegetables,0.4802901158827118,0.002274673713682182,500,0.008956001863135785,65.22113251686096
Vegetables,0.317375852436732,0.052184434428117224,500,0.008576876096837344,65.2341468334198
Vegetables,0.3656734039596702,0.023964999498604152,500,0.007141879809937471,65.13034439086914
Vegetables,0.5592671627422913,0.0002621373438064642,500,0.006628971796571573,65.35528469085693
Vegetables,0.46004407412919074,0.003660221201876854,500,0.008415332260889542,65.50810885429382
Vehicles,0.5554273602015289,5.068364500355935e-05,500,0.01322223571565959,80.09824562072754
Vehicles,0.2755822843760682,0.06377817715830401,500,0.015607191652973572,80.25785946846008
Vehicles,0.2078125999988891,0.16579340099206666,500,0.012965625255419371,79.20668387413025
Vehicles,0.36140684674748147,0.013595876935244293,500,0.014428631468981037,79.24040842056274
Vehicles,0.5272879447930622,0.0001664296307385543,500,0.013260583255666732,79.3004240989685
