category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.24664041550149643,0.021282524220539334,500,0.0006287615345728898,234.25805807113647
Birds,0.2332933379830496,0.02965677741882953,500,0.0004956584587060364,189.7390329837799
Birds,0.2856020581329312,0.0073296153028768645,253,0.004071567345986538,106.35587525367737
Birds,0.08929244863518244,0.41081350287449364,188,0.007294341831678002,81.66579270362854
Birds,0.4583025039956607,8.051470545115535e-06,171,0.007637271815057446,71.20713353157043
Clothing,0.4918631650452837,2.6934133649522057e-06,500,0.0003916334167914487,182.2636685371399
Clothing,0.4369671730409877,4.5307436265927794e-05,500,0.0007834010110371335,185.21985697746277
Clothing,0.5071068266873208,1.3575263256065764e-06,500,0.00044071249376501624,154.3624551296234
Clothing,0.6718217282666826,6.615222286209238e-12,500,0.0006786857761836136,153.2681872844696
Clothing,0.4518210670518414,2.2956321474749366e-05,193,0.004773204089558083,62.139599323272705
Fruit,0.373576173219712,0.014812128568161229,0,0.0569411012120665,1.5867938995361328
Fruit,0.4408512894727445,0.003476542323083717,93,0.01778224981243299,16.351316690444946
Fruit,0.3506129641787186,0.022818608253251618,500,0.00036555575560381383,79.15621876716614
Fruit,0.4322861449689761,0.004250355895130267,284,0.004595060485807305,46.69140672683716
Fruit,0.44244728920396065,0.003346862373581038,280,0.0026569966829248872,46.08929252624512
Furniture,0.033269338559121626,0.8428183288122595,145,0.010155960725126678,22.194887399673462
Furniture,0.34244424243549804,0.035330444813190316,346,0.0019098469494621274,51.161670446395874
Furniture,0.2854250027244146,0.08237970885656105,45,0.03580476260445346,8.090171813964844
Furniture,0.3551556908563639,0.028663721902556765,174,0.00813368656764619,28.05483889579773
Furniture,0.3358158774889192,0.0392799029072349,74,0.020249299038733914,12.389275312423706
Professions,0.4584548997431179,3.116938783997536e-05,500,0.0010654438994989594,144.25258088111877
Professions,0.4978009521522723,4.754380307535593e-06,118,0.014405664950314303,36.44170951843262
Professions,0.3882963490655321,0.0005281671748265044,265,0.004908693635059057,78.35035014152527
Professions,0.41505509508799976,0.00021339198073540123,234,0.007458871203816858,69.90254855155945
Professions,0.32887819082726033,0.003964983353962063,167,0.009720567957952902,50.63246536254883
Sports,0.4338641165493142,9.02497039351852e-05,134,0.011618170773851445,41.08814764022827
Sports,0.3882471629972476,0.0005291049951837529,80,0.018422568625912086,25.76871085166931
Sports,0.5249360815701094,1.127084233864513e-06,77,0.01858086760344225,24.853565216064453
Sports,0.3141626125332857,0.006052951940137901,84,0.01707148177403233,27.1434383392334
Sports,0.49908247557325225,5.172569361414624e-06,263,0.004427259958035749,78.09940767288208
Vegetables,0.4670023562825608,0.003118181187891533,184,0.007320633906510621,27.978595495224
Vegetables,0.45778873936558395,0.0038526755882868744,300,0.0010813542921330043,46.05457258224487
Vegetables,0.26324387518582304,0.11030017415094752,201,0.005702024582899449,31.348803997039795
Vegetables,0.27501685627988137,0.09470520347728152,237,0.003039057147584351,37.3908908367157
Vegetables,0.5882383719514929,0.00010275955539320285,266,0.0009531981215338036,40.040653467178345
Vehicles,0.6563940250181117,5.455392165796821e-07,128,0.009648367771052583,24.146896839141846
Vehicles,0.5007704757577925,0.00039341474246306203,208,0.005053843276664031,38.75860810279846
Vehicles,0.32306071631724,0.028531688008045845,217,0.005408014954341878,40.3788788318634
Vehicles,0.4586496060321695,0.0013471926948241477,413,0.0013099935170923554,77.16827750205994
Vehicles,0.6720817468013714,3.147868973874492e-07,327,0.0010981962470626642,61.32355237007141
