category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.060583968253716945,0.5772345071314966,500,0.026175600586218505,152.95758628845215
Birds,0.15682218058904762,0.14689817906045222,500,0.02327896850400449,157.34453225135803
Birds,0.15133287840912907,0.1617542676963315,500,0.02232539645752704,169.40785932540894
Birds,0.17529150714402217,0.10438377480391213,500,0.02123987148413183,166.69095730781555
Birds,0.20165869319836183,0.06106377341914464,500,0.021378666930976543,158.78676533699036
Clothing,0.02846490900737309,0.799607567182416,500,0.026809990293109487,148.74442529678345
Clothing,0.05409159449263883,0.6315053721623405,500,0.02797865281399158,152.78744912147522
Clothing,0.032105248414182434,0.7760046072358293,500,0.027469298919027857,147.85072469711304
Clothing,0.5209648475391639,6.162814378307883e-07,500,0.032726785991311104,147.92841458320618
Clothing,0.019683238827266965,0.861541195477817,500,0.026816777464038943,163.2425365447998
Fruit,0.029750326697944335,0.8516395634411955,500,0.01893174645747363,86.75985860824585
Fruit,0.28362989768451774,0.0687221211949498,500,0.027149021520585848,80.97609543800354
Fruit,0.21285564870126425,0.17592764301192118,500,0.02193925734915228,80.64239501953125
Fruit,0.3452917095441895,0.025117303662683048,500,0.025099176072195577,79.86152839660645
Fruit,0.2703798664780165,0.08330904550726355,500,0.022272039808101562,79.05244588851929
Furniture,-0.07488915793680777,0.6549798959130468,351,0.05002491143391365,51.51431679725647
Furniture,0.30279810903111976,0.06462154918875951,500,0.03654937163904657,74.8204026222229
Furniture,-0.04783799035514466,0.7754866951725621,500,0.04478586515367392,79.31717228889465
Furniture,-0.12046217719140385,0.47127714880691385,338,0.03831132474028714,54.703938007354736
Furniture,0.1911958511776545,0.25019117203422286,500,0.03888224114521228,78.27682089805603
Professions,-0.07636249384963113,0.5120570101482049,500,0.03249226203114444,156.9508295059204
Professions,0.42948258119021177,0.00010815937693836674,500,0.03177226302276265,169.54964780807495
Professions,0.3859138250878535,0.0005753798256935488,500,0.02860245161501072,179.11088299751282
Professions,0.26737610589837535,0.0203924766855321,500,0.02740562857591675,186.69325494766235
Professions,0.1290680569570098,0.2697615027574357,500,0.02460610338409211,188.39904928207397
Sports,0.1368934100076856,0.23832199443785904,500,0.026145611798344983,187.80868482589722
Sports,0.29292867169095954,0.010229704639057263,500,0.02717492798923994,189.65777802467346
Sports,0.14440008798446086,0.21330751204915174,500,0.023169699861786124,190.38309907913208
Sports,0.002247558625517871,0.9847313972164804,500,0.023457123531961516,192.56171298027039
Sports,0.29942667158701003,0.009061431465535855,500,0.023921272585428026,193.13365530967712
Vegetables,0.40164258736015335,0.012439360526264546,210,0.030802084725484097,42.57323861122131
Vegetables,0.29933239197996453,0.06789792526388713,500,0.01967137323786981,97.01740741729736
Vegetables,0.28870159788613864,0.07876912887673335,500,0.022537778404602055,98.59024238586426
Vegetables,0.37693710353892007,0.019660854179147057,500,0.014560563251934193,98.90428709983826
Vegetables,0.3234602516526426,0.04759703147622159,500,0.014999836239019558,99.08968544006348
Vehicles,0.38787845051738606,0.007061706545585268,500,0.031249018348183857,108.83523797988892
Vehicles,0.18047802836006738,0.23003804755047397,500,0.025879345394596263,107.41443538665771
Vehicles,0.2479257367048037,0.09665556947663632,500,0.024446864638017096,111.81238150596619
Vehicles,0.5526599911504456,6.81736281518972e-05,500,0.025546781536777908,114.84350442886353
Vehicles,0.5385257628089369,0.00011307463149277868,500,0.024510054508583207,114.9506356716156
