category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.4055037898246019,9.76491058846561e-05,500,0.0005954719181245336,163.4067132472992
Birds,0.34531291503938216,0.0010541641681336331,101,0.014523357175763028,35.16875982284546
Birds,0.1100482391705598,0.3102483251998082,115,0.012250552552449051,39.78885078430176
Birds,0.21399371406578868,0.0465633708702227,121,0.011345979368413948,46.06002736091614
Birds,0.32731226838958866,0.001971295053439717,224,0.006075527420866859,83.16872429847717
Clothing,0.36996148449494975,0.0006240364059441123,244,0.004828842985009511,81.0644941329956
Clothing,0.324888818433782,0.0030836195704907646,170,0.006748800669366954,58.0460147857666
Clothing,0.4007664676416418,0.00020930220681099888,500,0.0005290126238970207,167.34304785728455
Clothing,0.6248961385272936,4.513701290698218e-10,500,0.0009658069918332894,162.5956346988678
Clothing,0.4614187001491347,1.4544251050506196e-05,125,0.014003450532784602,43.416871547698975
Fruit,0.4344542318317281,0.004041493722914969,143,0.012106149174027928,24.905107975006104
Fruit,0.5528852280592547,0.00014645154758738282,107,0.013277925617778746,20.659849643707275
Fruit,0.3975502570926656,0.009131286174667621,346,0.0012404693322848697,58.439318895339966
Fruit,0.5064729929243563,0.000620766034732005,128,0.01334824612107433,23.16105365753174
Fruit,0.4229278374231556,0.0052636365574853985,235,0.003653754606457396,40.44117569923401
Furniture,0.24005611330679133,0.14658585181875447,395,0.0004438042762181355,59.46468496322632
Furniture,0.2841352655115039,0.08383564227660428,211,0.007567208185054946,33.15899133682251
Furniture,0.327815589113645,0.04451709972164922,261,0.0029542233060797624,39.724509477615356
Furniture,0.22727137359351113,0.169992152917857,189,0.006271933100639519,30.891664743423462
Furniture,0.3858465409147408,0.016732434929125694,192,0.006144599586455968,30.083194255828857
Professions,0.3600072861998995,0.0014017753835095788,337,0.0029895280158586442,103.73358511924744
Professions,0.6391749013040695,5.169296294034655e-10,93,0.01760282756247728,30.978396892547607
Professions,0.38313330908944776,0.0006353271769794476,220,0.006243687964144559,70.39489006996155
Professions,0.4658262632652126,2.5357757924407207e-05,213,0.009883230501612125,67.72278833389282
Professions,0.38874408593361226,0.0005674655243476148,123,0.014306278294970847,40.30850958824158
Sports,0.43453704635069307,8.775582313409942e-05,338,0.002798388376457564,105.66533350944519
Sports,0.3053870779344202,0.007305470484436132,109,0.017948804581332103,36.13618803024292
Sports,0.5121648899356558,2.2536565997713013e-06,438,0.0009223769655570725,135.13897824287415
Sports,0.33493320233854734,0.003311585795296627,206,0.00652377310331496,64.45695805549622
Sports,0.5312275261891858,9.416755056928786e-07,500,0.0005909005765680419,148.77207279205322
Vegetables,0.5556522762326123,0.00029287075440964254,390,0.0002612332884580918,58.81568956375122
Vegetables,0.5039148422073566,0.0012575410297500699,178,0.005471449488339886,28.21169114112854
Vegetables,0.31424797644010455,0.05467685184846348,289,0.0015432457900293258,45.56181454658508
Vegetables,0.46821727241381356,0.003031100404015912,205,0.0056322006211435805,32.30792737007141
Vegetables,0.504586369814366,0.0012357617303452686,306,0.0007405741961199766,47.445210218429565
Vehicles,0.7087746140247686,2.4788203555573468e-08,229,0.003344096325800461,43.098069190979004
Vehicles,0.40937998749591975,0.004726446622072802,109,0.015595817255288504,21.53634023666382
Vehicles,0.5011193177648087,0.0003891626022467075,248,0.002318685453069908,47.604833126068115
Vehicles,0.6377830158174584,1.86711386028849e-06,273,0.0021236537805314213,51.21587014198303
Vehicles,0.6401172347025901,1.665593758109721e-06,283,0.0013543082548313284,53.67024636268616
